2026-02-23 18:05:08,428 | INFO     | pipeline | ======================================================================
2026-02-23 18:05:08,428 | INFO     | pipeline |   CLINICAL TRIAL DATA PIPELINE
2026-02-23 18:05:08,429 | INFO     | pipeline |   Run ID:  53d8e2aa-20260223-180508
2026-02-23 18:05:08,429 | INFO     | pipeline |   Source:  csv
2026-02-23 18:05:08,429 | INFO     | pipeline |   Started: 2026-02-23 18:05:08
2026-02-23 18:05:08,430 | INFO     | pipeline | ======================================================================
2026-02-23 18:05:08,446 | INFO     | pipeline | 
========================================
2026-02-23 18:05:08,447 | INFO     | pipeline | STEP 1/4: INGESTION
2026-02-23 18:05:08,447 | INFO     | pipeline | ========================================
2026-02-23 18:05:08,448 | INFO     | pipeline | --- CSV Ingestion ---
2026-02-23 18:05:08,451 | INFO     | src.ingestion.csv_ingestor | Reading CSV: /opt/airflow/data/clinical_trials.csv (390.8 MB)
2026-02-23 18:05:19,406 | INFO     | src.ingestion.csv_ingestor | CSV loaded: 496,615 rows × 17 columns
2026-02-23 18:05:19,562 | INFO     | src.ingestion.csv_ingestor | Dropped index column(s): ['Unnamed: 0']
2026-02-23 18:05:19,563 | INFO     | src.ingestion.base_ingestor | Schema validation passed for 'clinical_trials.csv' — 16 columns found
2026-02-23 18:05:19,563 | INFO     | src.ingestion.csv_ingestor | Ingestion complete: 496,615 rows ready for processing
2026-02-23 18:05:19,566 | INFO     | pipeline | CSV: 496,615 rows ingested
2026-02-23 18:05:19,567 | INFO     | pipeline | Ingested: 496,615 rows × 17 columns
2026-02-23 18:05:19,568 | INFO     | pipeline | 
========================================
2026-02-23 18:05:19,568 | INFO     | pipeline | STEP 2/4: CLEANING & TRANSFORMATION
2026-02-23 18:05:19,568 | INFO     | pipeline | ========================================
2026-02-23 18:05:20,055 | INFO     | src.processing.cleaner | Starting cleaning pipeline on 496,615 rows...
2026-02-23 18:05:22,537 | INFO     | src.processing.cleaner | Trimmed whitespace on 17 string columns
2026-02-23 18:05:34,640 | INFO     | src.processing.cleaner | Replaced 596,170 hidden null values → NaN
2026-02-23 18:05:35,143 | INFO     | src.processing.cleaner | Dates: 491,469 parsed, 214,975 approximate (YYYY-MM), 33 suspicious (nulled), 0 unparseable
2026-02-23 18:05:35,205 | INFO     | src.processing.cleaner | Phases: 197,017 non-null values remain
2026-02-23 18:05:35,243 | INFO     | src.processing.cleaner | Extracted 28,083 unique organizations
2026-02-23 18:05:36,664 | INFO     | src.processing.cleaner | Split 'Conditions': 496,612 rows → 923,632 individual values (110,163 unique)
2026-02-23 18:05:38,460 | INFO     | src.processing.cleaner | Split 'Interventions': 447,377 rows → 874,253 individual values (443,238 unique)
2026-02-23 18:05:39,952 | INFO     | src.processing.cleaner | Split 'Standard Age': 495,730 rows → 933,847 individual values (3 unique)
